id,belongs_to_collection,budget,popularity,revenue,release_year,release_day,outcome,en,EUR + AUS,ASIA + AFRICA,AMERICA,Paramount Pictures,other_companies,Warner Bros.,Universal Pictures,Twentieth Century Fox Film Corporation,Thriller,Romance,Action,Drama,Comedy,Friday,Monday,Saturday,Thursday,Tuesday,Wednesday,budget_year_ratio
1,1,14000000,6.575393,12314651,2015,Friday,FALSE,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2
2,1,40000000,8.248895,95149435,2004,Friday,TRUE,1,0,0,1,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,4
3,0,3300000,64.29999,13092000,2014,Friday,TRUE,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
4,0,1200000,3.174936,16000000,2012,Friday,TRUE,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1
5,0,10066666,1.14807,3923970,2009,Thursday,FALSE,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,2
6,0,8000000,0.743274,3261638,1987,Thursday,FALSE,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
7,0,14000000,7.286477,85446075,2012,Thursday,TRUE,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2
8,0,40936850,1.949044,2586511,2004,Thursday,FALSE,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4
9,1,32957691,6.902423,34327391,1996,Friday,FALSE,1,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,4
10,0,6000000,4.672036,18750246,2003,Wednesday,TRUE,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2
11,1,1000000,14.774066,117235147,1976,Sunday,TRUE,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
12,1,14760623,10.54375,22642033,1987,Friday,FALSE,1,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,3
13,0,15000000,20.726578,356296601,1999,Wednesday,TRUE,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3
14,1,53000000,13.314233,95226116,2005,Friday,FALSE,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,5
15,0,102000000,20.666063,358372926,2002,Thursday,TRUE,1,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,5
16,0,26000000,6.336927,57891803,2005,Thursday,TRUE,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3
17,0,8000000,6.496259,1749457,2011,Wednesday,FALSE,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,2
18,1,32000000,11.359659,85167639,2005,Tuesday,TRUE,1,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,4
19,0,80000000,12.000579,136159423,1998,Friday,FALSE,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5
20,1,4000000,7.99229,36690067,1982,Friday,TRUE,1,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
21,0,42748245,7.434577,4947717,2006,Saturday,FALSE,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,4
